iter	Passed	Remaining
0	1	150
1	2	131
2	3	124
3	4	111
4	5	111
5	7	113
6	8	111
7	9	112
8	10	106
9	11	103
10	12	102
11	13	100
12	14	97
13	15	96
14	16	95
15	17	93
16	18	91
17	19	89
18	20	88
19	22	88
20	23	86
21	24	85
22	24	82
23	25	81
24	26	80
25	27	79
26	29	78
27	30	77
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	88	24
78	89	23
79	91	22
80	92	21
81	94	20
82	95	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	116	0
